Algorithm,Workgroup,loadfactorAvg,loadfactorMax,itemnumAvg,itemnumMax,toteNum,skuNum,time(micro-sec),,loadfactorAvg,,,,,,,,,,,,,,,,,,,,
FFD,8858,48.58,77,5.08,10,12,23,17555,,,workgroup_8858,workgroup_8859,workgroup_8876,workgroup_8877,workgroup_8878,workgroup_8879,workgroup_8880,workgroup_8882,workgroup_8881,workgroup_8883,workgroup_8885,workgroup_8884,workgroup_8887,workgroup_8886,workgroup_8889,workgroup_8891,workgroup_8892,workgroup_8893,workgroup_8890,workgroup_8888
FFD,8859,68,77,14,20,4,13,4131,,FFD,48.58,68,11,62,62,62,53.57,55.63,59,63,56.5,53.4,43.33,46.67,56,64.5,36,54,53.75,42
FFD,8876,11,11,1,1,1,1,65,,BFD,48.58,68,11,62,62,62,53.57,55.63,59,63,56.5,53.4,43.33,46.67,56,64.5,36,54,53.75,42
FFD,8877,62,62,8,8,3,8,731,,MFK,41.64,54.6,11,46.75,46.75,46.75,47,44.6,42.29,45.14,44.8,41.15,43.67,47,56,43,36,36,43,42
FFD,8878,62,62,8,8,3,8,573,,,,,,,,,,,,,,,,,,,,,,
FFD,8879,62,62,8,8,3,8,554,,loadfactorMax,,,,,,,,,,,,,,,,,,,,
FFD,8880,53.57,62,8.57,12,7,17,5169,,,workgroup_8858,workgroup_8859,workgroup_8876,workgroup_8877,workgroup_8878,workgroup_8879,workgroup_8880,workgroup_8882,workgroup_8881,workgroup_8883,workgroup_8885,workgroup_8884,workgroup_8887,workgroup_8886,workgroup_8889,workgroup_8891,workgroup_8892,workgroup_8893,workgroup_8890,workgroup_8888
FFD,8882,55.63,62,6.5,8,8,17,1109,,FFD,77,77,11,62,62,62,62,62,62,75,75,63,62,68,62,68,53,61,77,63
FFD,8881,59,62,8.6,11,5,12,930,,BFD,77,77,11,62,62,62,62,62,62,75,75,63,62,68,62,68,53,61,77,63
FFD,8883,63,75,9.6,11,5,18,1154,,MFK,51,72,11,50,50,50,52,50,50,52,47,49,50,50,62,47,49,47,66,51
FFD,8885,56.5,75,8.5,11,4,14,716,,,,,,,,,,,,,,,,,,,,,,
FFD,8884,53.4,63,7.1,10,10,26,1665,,itemnumAvg,,,,,,,,,,,,,,,,,,,,
FFD,8887,43.33,62,8,12,3,7,349,,,workgroup_8858,workgroup_8859,workgroup_8876,workgroup_8877,workgroup_8878,workgroup_8879,workgroup_8880,workgroup_8882,workgroup_8881,workgroup_8883,workgroup_8885,workgroup_8884,workgroup_8887,workgroup_8886,workgroup_8889,workgroup_8891,workgroup_8892,workgroup_8893,workgroup_8890,workgroup_8888
